Especialidad	Patología	Genes	Metodología
Enfermedades Cardiovasculares	ENFERMEDADES CARDIOVASCULARES GLOBAL	AARS2, ABCA1, ABCB1, ABCC6, ABCC8, ABCC9, ABCG1, ABCG5, ABCG8, ABL1, ACAD9, ACADVL, ACE, ACTA1, ACTA2, ACTB, ACTC1, ACTG1, ACTN2, ACVR1, ACVR2B, ACVRL1, ADA2, ADAMTS10, ADAMTS17, ADAMTS19, ADAMTS2, ADAMTSL4, AEBP1, AFF4, AGK, AGL, AGPAT2, AGXT, AK7, AKAP9, AKT1, AKT2, AKT3, ALDH18A1, ALG1, ALG10, ALG10B, ALG8, ALMS1, ALOX5AP, ALX4, AMER1, AMPD1, ANGPTL3, ANK2, ANK3, ANKRD1, ANKRD11, ANKS6, ANO5, ANTXR1, APOA1, APOA2, APOA4, APOA5, APOB, APOC2, APOC3, APOE, APP, AQP1, ARHGAP31, ARID1A, ARID1B, ARL6, ARMC4, ASPH, ASS1, ATM, , ATP5F1E, ATP6V0A2, ATP7A, ATPAF2, B3GALT6, B3GAT3, B4GALT7, B9D1, B9D2, BAG3, BBS1, BBS10, BBS12, BBS2, BBS4, BBS5, BBS7, BBS9, BCOR, BGN, BICC1, BLK, BMP1, BMP10, BMP2, BMPR1A, BMPR1B, BMPR2, BRAF, BSCL2, C12orf57, C1R, C1S, C2CD3, CABIN1, CACNA1C, CACNA1D, CACNA1H, CACNA2D1, CACNB2, CALM1, CALM2, CALM3, CALR, CALR3, CAPN3, CASQ2, CAV1, CAV3, CAVIN1, CAVIN4, CBL, CBS, CC2D2A, CCDC103, CCDC114, CCDC151, CCDC28B, CCDC39, CCDC40, CCDC65, CCM2, CCNO, CD46, CDC42, CDH2, CDKN1C, CEL, CEP290, CETP … Listado completo de genes en ANEXO 1	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 797 genes
Enfermedades Cardiovasculares	ENFERMEDAD DE FABRY (DEFICIENCIA DE ALFA GALACTOSIDASA)	GLA	Secuenciación Sanger
Enfermedades Cardiovasculares	ENFERMEDAD DE FABRY (DEFICIENCIA DE ALFA GALACTOSIDASA)	GLA	Análisis MLPA
Enfermedades Cardiovasculares	ENFERMEDAD DE MOYAMOYA	ACTA2, GUCY1A1 RNF213	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 3 genes
Enfermedades Cardiovasculares	ENFERMEDAD DE MOYAMOYA	ACTA2	Secuenciación Sanger
Enfermedades Cardiovasculares	ENFERMEDAD DE MOYAMOYA	RNF213	Secuenciación por NGS
Enfermedades Cardiovasculares	ENFERMEDAD DE MOYAMOYA	GUCY1A1	Secuenciación Sanger
Enfermedades Cardiovasculares	ESTENOSIS SUPRAVALVULAR AÓRTICA	ELN	Secuenciación por NGS
Enfermedades Cardiovasculares	ESTENOSIS SUPRAVALVULAR AÓRTICA	ELN	Secuenciación Sanger
Enfermedades Cardiovasculares	ESTENOSIS SUPRAVALVULAR AÓRTICA	ELN, LIMK1	Análisis MLPA
Enfermedades Cardiovasculares	FIBRILACIÓN AURICULAR	ABCC9, ACTC1, CACNB2, EMD, GATA4, GATA5, GATA6, GJA1, GJA5, HCN4, JPH2, KCNA5, KCND2, KCND3, KCNE1, KCNE2, KCNE3, KCNE5, KCNH2, KCNJ2, KCNJ5, KCNJ8, KCNK3, KCNQ1, LDB3, LMNA, NKX2-5, NKX2-6, NPPA, NUP155, PITX2, RYR2, SCN10A, SCN1B, SCN2B, SCN3B, SCN4B, SCN5A, TBX5, TNNI3, TNNI3K, TNNT2, TPM1, TTR, ZFHX3	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 45 genes
Enfermedades Cardiovasculares	HETEROTAXIA & SITUS INVERSUS	ACVR2B, AK7, ANKS6, ARMC4, CCDC103, CCDC114, CCDC151, CCDC39, CCDC40, CCDC65, CCNO, CFAP298, CFAP53, CFC1, CRELD1, DNAAF1, DNAAF2, DNAAF3, DNAAF4, DNAAF5, DNAH11, DNAH5, DNAI1, DNAI2, DNAL1, DRC1, FOXH1, GDF1, INVS, LEFTY2, LRRC6, NKX2-5, NME8, NODAL, PKD1L1, RSPH1, RSPH4A, RSPH9, SPAG1, ZIC3, ZMYND10	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 41 genes
Enfermedades Cardiovasculares	HIPERHOMOCISTEINEMIA	MTHFR	Mutación C677T(Ala222Val) y A1298C(Glu429Ala)
Enfermedades Cardiovasculares	HIPERHOMOCISTEINEMIA	MTHFR	Secuenciación Sanger
Enfermedades Cardiovasculares	HIPERTENSIÓN ARTERIAL PULMONAR	ABCA3, ABCC8, ACVRL1, AQP1, BMPR1B, BMPR2, CAV1, EDN1, EIF2AK4, ENG, FBN1, FLNA, FOXF1, FOXRED1, GDF2, HRAS, KCNA5, KCNK3, LIPT1, NF1, NFU1, NOTCH3, RASA1, RASA2, SARS2, SMAD1, SMAD4, SMAD9, SOX17, STRA6, TBX4, TOPBP1	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 32 genes
Enfermedades Cardiovasculares	HIPERTENSIÓN PULMONAR PRIMARIA	BMPR2	Secuenciación Sanger
Enfermedades Cardiovasculares	HIPERTENSIÓN PULMONAR PRIMARIA	BMPR2	Análisis MLPA
Enfermedades Cardiovasculares	HIPERTENSIÓN PULMONAR PRIMARIA	EIF2AK4	Secuenciación por NGS
Enfermedades Cardiovasculares	HIPERTENSIÓN PULMONAR PRIMARIA	EIF2AK4	Secuenciación Sanger
Enfermedades Cardiovasculares	MALFORMACIÓN CARDÍACA/CARDIOPATÍAS CONGÉNITAS	ABCC9, ABL1, ACTA1, ACTA2, ACTB, ACTC1, ACTG1, ACVR1, ACVR2B, ACVRL1, ADAMTS10, ADAMTS17, AFF4, AKT3, ALMS1, AMER1, ANKRD1, ANKRD11, ARHGAP31, ARID1A, ARID1B, ARL6, B3GAT3, B9D1, B9D2, BBS1, BBS10, BBS12, BBS2, BBS4, BBS5, BBS7, BBS9, BCOR, BMPR2, BRAF, C12orf57, C2CD3, CBL, CC2D2A, CCDC103, CCDC28B, CCDC39, CCDC40, CDKN1C, CEP290, CFAP53, CFC1, CHD4, CHD7, CHRM2, CITED2, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, CPS1, CREBBP, CRELD1, CTC1, CYR61, DHCR7, DLL4, DNAAF1, DNAAF2, DNAAF3, DNAAF4, DNAAF5, DNAH11, DNAH5, DNAI1, DNAI2, DNAL1, DOCK6, DTNA, EFEMP2, EFTUD2, EHMT1, EIF2AK4, ELN, ENG, EOGT, EP300, EVC, EVC2, EYA4, FBN1, FBN2, FKTN, FLNA, FLT4, FOXC1, FOXF1, FOXH1, FOXP1, G6PC3, GAA, GATA4, GATA5, GATA6, GDF1, GJA1, GJA5, GPC3, HAND1, HAND2, HDAC8, HOXA1, HRAS, INVS, IRX4, ISL1, JAG1, KANSL1, KAT6B, KCNA5, KCNJ8, KCNK3, KDM6A, KIF7, KMT2D, KRAS, KYNU, LEFTY2, LZTR1, MAP2K1, MAP2K2, MCTP2, MED12, MED13L, MEGF8, MEIS2, MFAP5, MIB1, MID1, MKKS, MKS1, MYBPC3, MYCN, MYH11, MYH6, MYH7, MYLK, MYO18B, NAA15, NEK8, NEXN, NF1, NIPBL, NKX2-5, NKX2-6, NME8, NODAL, NOTCH1, NOTCH2, NOTCH3, NPHP3, NPHP4, NR2F2, NRAS, NSD1, NSDHL, NTRK3, OFD1, PDGFRA, PIK3CA, PIK3R2, PITX2, PKD1L1, PLOD1, PRKD1, PRKG1, PTPN11, PUF60, RAB23, RAF1, RAI1, RASA1, RASA2, RBM10, RECQL4, RERE, RIT1, RPGRIP1L, RRAS, SALL1, SALL4, SEMA3E, SHOC2, SKI, SLC2A10, SMAD1, SMAD2, SMAD3, SMAD4, SMAD6, SMAD9, SMARCB1, SMC1A, SMC3, SOS1, SOS2, SOX9, SPECC1L, SPRED1, STAG2, STRA6, TAB2, TBX1, TBX20, TBX5, TCTN2, TDGF1, TFAP2B, TGDS, TGFB2, TGFB3, TGFBR1, TGFBR2, TLL1, TMEM216, TMEM231, TMEM67, TNNI3, TNNI3K, TOPBP1, TRIM32, TTC8, TTN, TWIST1, UPF3B, WDPCP, ZDHHC9, ZEB2, ZFPM2, ZIC3	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 237 genes
Enfermedades Cardiovasculares	MALFORMACIÓN CARDÍACA CONGÉNITA	GATA4	Secuenciación Sanger
Enfermedades Cardiovasculares	MALFORMACIÓN CARDÍACA CONGÉNITA	ZIC3	Secuenciación Sanger
Enfermedades Cardiovasculares	MALFORMACIÓN CARDÍACA CONGÉNITA	CFC1	Secuenciación Sanger
Enfermedades Cardiovasculares	MALFORMACIÓN CARDÍACA CONGÉNITA	GDF1	Secuenciación Sanger
Enfermedades Cardiovasculares	MALFORMACIÓN CARDÍACA CONGÉNITA	CITED2	Secuenciación Sanger
Enfermedades Cardiovasculares	MALFORMACIÓN CARDÍACA CONGÉNITA	FOXH1	Secuenciación Sanger
Enfermedades Cardiovasculares	MALFORMACIÓN CARDÍACA CONGÉNITA	MED13L	Secuenciación por NGS
Enfermedades Cardiovasculares	MALFORMACIÓN CARDÍACA CONGÉNITA	MED13L	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA AMILOIDE FAMILIAR RELACIONADA CON TRANSTIRETINA (TTR)	TTR	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍAS HEREDITARIAS GLOBAL	AARS2, ABCC6, ABCC9, ACAD9, ACADVL, ACTA1, ACTA2, ACTC1, ACTN2, AGK, AGL, AGPAT2, AKAP9, AKT1, ALG10B, ALMS1, AMPD1, ANK2, ANKRD1, ANO5, APOA1, ATP5F1E, ATPAF2, B3GAT3, BAG3, BRAF, BSCL2, CACNA1C, CACNA2D1, CACNB2, CALM1, CALM2, CALM3, CALR, CALR3, CASQ2, CAV3, CAVIN4, CBL, CDH2, CHRM2, COA5, COA6, COL1A1, COL1A2, COL3A1, COL4A5, COL5A1, COL5A2, COL7A1, COQ2, COX15, COX6B1, CPT2, CRYAB, CSRP3, CTF1, CTNNA1, CTNNA3, CTNNB1, DES, DLD, DMD, DMPK, DNAJC19, DNM1L, DOLK, DPM3, DSC2, DSG2, DSP, DTNA, DYSF, EEF1A2, EFEMP2, ELAC2, ELN, EMD, EPG5, ETFA, ETFB, ETFDH, EYA4, FAH, FBN1, FBN2, FHL1, FHL2, FHOD3, FKRP, FKTN, FLNA, FLNC, FLT1, FOXD4, FOXE3, FOXRED1, FXN, GAA, GATA4, GATA5, GATA6, GATAD1, GBE1, GFM1, GJA5, GLA, GLB1, GNPTAB, GPD1L, GSK3B, GUSB, GYG1, HAMP, HAND1, HCN4, HFE, HRAS, IDH2, ILK, ISL1, JARID2, JPH2, JUP, KAT6B, KCNA5, KCND2, KCND3, KCNE1, KCNE2, KCNE3, KCNE5, KCNH2, KCNJ2, KCNJ5, KCNJ8, KCNQ1, KLF10, KRAS, LAMA2, LAMA4, LAMP2, LDB3, LIAS, LMNA, LMX1B, LOX, LZTR1, MAP2K1, MAP2K2, MAP3K8, MAT2A, MED12, MEF2C, MFAP5, MIB1, MLYCD, MRPL3, MRPL44, MRPS22, MTO1, MYBPC3, MYH11, MYH6, MYH7, MYL2, MYL3, MYLK, MYLK2, MYOM1, MYOT, MYOZ2, MYPN, NEBL, NEXN, NF1, NKX2-5, NNT, NOTCH1, NPPA, NRAS, NUP155, OBSCN, OPA3, PCCA, PCCB, PDHA1, PDLIM3, PHKA1, PKD2, PKP2, PLN, PLOD1, PMM2, PMP22, PRDM16, PRKAG2, PRKG1, PSEN1, PSEN2, PTPN11, RAB3GAP2, RAF1, RANGRF, RASA1, RASA2, RBCK1, RBM20, RIT1, RMND1, RRAS, RYR2, SCN10A, SCN1B, SCN2B, SCN3B, SCN4B, SCN5A, SCO2, SDHA, SEMA3A, SGCA, SGCB, SGCD, SGCG, SHOC2, SKI, SLC22A5, SLC25A3, SLC25A4, SLC2A10, SLC40A1, SLMAP, SMAD3, SMAD4, SNTA1, SOS1, SOS2, SPEG, SPRED1, SURF1, SYNE1, SYNE2, SYNGAP1, TAB2, TAZ, TBX20, TBX5, TCAP, TFR2, TGFB2, TGFB3, TGFBR1, TGFBR2, TMEM43, TMEM70, TMPO, TNNC1, TNNI3, TNNI3K, TNNT2, TOR1AIP1, TPM1, TRDN, TRIM63, TRPM4, TSFM, TTN, TTR, TXNRD2, VCL, VPS13A, WT1, XK, YWHAE, ZBTB17, ZDHHC9	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 277 genes
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	ACTN2, AKAP9, ANK2, ANKRD1, BAG3, CACNA1C, CACNB2, CASQ2, CAV3, CDH2, CTNNA1, CTNNA3, CTNNB1, DES, DSC2, DSG2, DSP, EMD, FLNC, GPD1L, HCN4, ILK, JUP, KCNE1, KCNE2, KCNE3, KCNH2, KCNJ2, KCNJ5, KCNJ8, KCNQ1, LDB3, LMNA, MYH7, NKX2-5, PDLIM3, PKP2, PLN, PRKAG2, RANGRF, RBM20, RYR2, SCN1B, SCN3B, SCN4B, SCN5A, SNTA1, TGFB3, TMEM43, TNNI3, TNNT2, TTN	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 52 genes
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	PKP2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	DSG2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	DSP	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	DSP	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	PKP2, DSP	Análisis MLPA
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	DSC2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	RYR2	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	RYR2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	JUP	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	TGFB3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA (DISPLASIA) ARRITMOGÉNICA DEL VENTRÍCULO DERECHO	TMEM43	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	TTN	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	LMNA	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	MYH7	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	MYH7	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	MYH6	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	MYH6	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	SCN5A	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	SCN5A	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	MYBPC3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	TNNT2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	BAG3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	ANKRD1	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	RBM20	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	TMPO	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	LDB3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	TCAP	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	VCL	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	VCL	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	TPM1	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	TNNI3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	TNNC1	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	ACTC1	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	ACTN2	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	ACTN2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	CSRP3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	DES	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	NEXN	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	EYA4	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	PLN	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA FAMILIAR	DSG2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA DILATADA	ABCC6, ABCC9, ACTA1, ACTC1, ACTN2, AKT1, ALMS1, ANKRD1, ANO5, APOA1, BAG3, BRAF, CALR3, CASQ2, CAV3, CAVIN4, CHRM2, COL7A1, CRYAB, CSRP3, CTF1, DES, DMD, DNAJC19, DNM1L, DOLK, DPM3, DSC2, DSG2, DSP, DTNA, DYSF, EEF1A2, EMD, EPG5, ETFA, ETFB, ETFDH, EYA4, FHL1, FHL2, FHOD3, FKRP, FKTN, FLNC, FLT1, FOXD4, GAA, GATA4, GATA5, GATA6, GATAD1, GBE1, GLA, GLB1, GSK3B, GYG1, HAMP, HAND1, HCN4, HFE, IDH2, ILK, ISL1, JARID2, JPH2, JUP, KCND3, KCNJ2, LAMA2, LAMA4, LAMP2, LDB3, LMNA, MEF2C, MIB1, MLYCD, MYBPC3, MYH6, MYH7, MYL2, MYL3, MYOM1, MYOT, MYPN, NEBL, NEXN, NKX2-5, OBSCN, OPA3, PCCA, PCCB, PDLIM3, PKD2, PKP2, PLN, PRDM16, PRKAG2, PSEN1, PSEN2, PTPN11, RAB3GAP2, RAF1, RANGRF, RBCK1, RBM20, RMND1, RYR2, SCN5A, SDHA, SGCA, SGCB, SGCD, SGCG, SLC22A5, SLC40A1, SPEG, SYNE1, SYNE2, TAB2, TAZ, TBX20, TBX5, TCAP, TFR2, TMEM43, TMPO, TNNC1, TNNI3, TNNI3K, TNNT2, TOR1AIP1, TPM1, TRIM63, TTN, TTR, TXNRD2, VCL, VPS13A, XK, ZBTB17	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 141 genes
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	MYBPC3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	MYH7	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	MYH7	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	TNNT2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	TNNI3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	TPM1	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	MYL3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	MYL2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	CSRP3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	TNNC1	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	ACTC1	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	ACTN2	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	ACTN2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	MYH6	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	MYH6	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	TCAP	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	PLN	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	NEXN	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	MYLK2	Secuenciación Sanger
